"rep_proj","study_num","study_title","authors","first_author","study_rep_number","journal","how","n_nhst_tot","n_error_tot","n_decision_error_tot","n_nhst_rep","ex_yn","ex_correction","ex_clear","nhst_yn","nhst_check"
"OSC",77,"Tracing attention and the activation flow in spoken word planning using eye movements.","A Roelofs","Roelofs","3","JEP:LMC","r_function",106,18,0,60,0,NA,NA,1,1
"OSC",78,"The face of success: inferences from chief executive officers' appearance predict company profits.","NO Rule, N Ambady","Rule","1","PS","",33,0,0,0,1,NA,NA,1,1
"OSC",79,"Intentional forgetting is easier after two ""shots"" than one.","L Sahakyan, PF Delaney, ER Waldum","Sahakyan","3","JEP:LMC","pdf_search",10,0,0,4,0,NA,NA,1,1
"OSC",80,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.","JR Schmidt, D Besner","Schmidt","2","JEP:LMC","pdf_search",22,0,0,6,0,NA,NA,1,1
"OSC",81,"With a clean conScience: Cleanliness reduces the severity of moral judgments.","S Schnall, J Benton, S Harvey","Schnall","2","PS","",9,NA,NA,7,1,NA,NA,1,1
"OSC",82,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.","N Shnabel, A Nadler","Shnabel","4","JPSP","",112,4,1,28,0,NA,NA,1,1
"OSC",83,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","CJ Soto, OP John, SD Gosling, J Potter","Soto","1","JPSP","r_function",4,2,2,4,1,1,NA,1,1
"OSC",84,"On the relative independence of thinking biases and cognitive ability.","KE Stanovich, RF West","Stanovich","8","JPSP","r_function",53,0,0,8,0,NA,NA,1,1
"OSC",85,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.","BC Storm, EL Bjork, RA Bjork","Storm","1","JEP:LMC","pdf_search",22,1,0,22,0,NA,NA,1,1
"OSC",86,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)","G Tabibnia, AB Satpute, MD Lieberman","Tabibnia","2","PS","",33,NA,NA,16,0,NA,NA,1,1
"OSC",87,"Hedonic and instrumental motives in anger regulation.","M Tamir, C Mitchell, JJ Gross","Tamir","1","PS","",15,0,0,15,0,NA,NA,1,1
"OSC",88,"The nonverbal expression of pride: Evidence for cross-cultural recognition.","JL Tracy, RW Robins","Tracy","4","JPSP","pdf_search",43,2,2,11,0,NA,NA,1,1
"OSC",89,"Multidimensional visual statistical learning.","NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat","Turk-Brown","4b","JEP:LMC","r_function",16,0,0,2,0,NA,NA,1,1
"OSC",90,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.","E van Dijk, GA van Kleef, W Steinel, I van Beest","van Dijk","3","JPSP","r_function",43,4,0,16,0,NA,NA,1,1
"OSC",91,"The value of believing in free will: Encouraging a belief in determinism increases cheating.","KD Vohs, JW Schooler","Vohs","1","PS","",11,0,0,3,0,NA,NA,1,1
"OSC",92,"Measuring the crowd within: Probabilistic representations within individuals.","E Vul, H Pashler","Vul","1","PS","",7,0,0,7,0,NA,NA,1,1
"OSC",93,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.","E Vul, M Nieuwenstein, N Kanwisher","Vul","1","PS","",3,0,0,3,0,NA,NA,1,1
"OSC",94,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.","PA White","White","3","JEP:LMC","r_function",36,1,0,7,1,NA,NA,1,1
"OSC",95,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.","LE Williams, JA Bargh","Williams","4","PS","",12,NA,NA,2,1,NA,NA,1,1
"OSC",96,"A motion aftereffect from still photographs depicting motion","J Winawer, AC Huk, L Boroditsky","Winawer","3","PS","",8,5,0,2,1,NA,NA,1,1
"OSC",97,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.","MJ Yap, DA Balota, CS Tse, D Besner","Yap","4","JEP:LMC","pdf_search",59,0,0,12,1,1,NA,1,1
"NASC",1,"Incidental Haptic Sensations Influence Social Judgments and
Decisions","","Ackerman","1","Science","",14,0,0,3,0,NA,NA,1,1
"NASC",2,"Body Cues, Not Facial Expressions,
Discriminate Between Intense
Positive and Negative Emotions","","Aviezer","1","Science","",5,0,0,1,0,NA,NA,1,1
"NASC",3,"Affirmative Action Policies Promote
Women and Do Not Harm Efficiency
in the Laboratory","","Balafoutas","1","Science","",4,0,0,NA,0,NA,NA,1,1
"NASC",4,"Experimental evidence for the influence of group size
on cultural complexity","","Derex","1","Nature","",NA,NA,NA,NA,NA,NA,NA,1,1
"NASC",5,"Memory’s penumbra: Episodic memory decisions induce
lingering mnemonic biases","","Duncan","1","Science","",11,0,0,NA,0,NA,NA,1,1
"NASC",6,"Analytic Thinking Promotes
Religious Disbelief","","Gervais","1","Science","",3,0,0,1,0,NA,NA,1,1
"NASC",7,"Avoiding overhead aversion in charity","","Gneezy","1","Science","",7,0,0,NA,0,NA,NA,1,1
"NASC",8,"Cooperating with the future","","Hauser","1","Nature","",NA,NA,NA,NA,0,NA,NA,1,1
"NASC",9,"Lab Experiments for the Study of Social-Ecological Systems","","Janssen","1","Science","",NA,NA,NA,NA,NA,NA,NA,1,1
"NASC",10,"Retrieval Practice Produces More Learning than Elaborative
Studying with Concept Mapping","","Karpicke","1","Science","",8,NA,NA,NA,NA,NA,NA,1,1
"NASC",11,"Reading Literary Fiction Improves
Theory of Mind","","Kidd","1","Science","",20,8,0,NA,1,NA,NA,1,1
"NASC",12,"The Social Sense: Susceptibility to
Others’ Beliefs in Human Infants
and Adults","","Kovács","1","Science","",12,2,0,NA,NA,NA,NA,1,1
"NASC",13,"Washing Away
Postdecisional Dissonance","","Lee","1","Science","",5,0,0,NA,NA,NA,NA,1,1
"NASC",14,"Thought for Food: Imagined
Consumption Reduces
Actual Consumption","","Morewedge","1","Science","",21,0,0,NA,NA,NA,NA,1,1
"NASC",15,"Inequality and visibility of wealth in experimental
social networks","","Nishi","1","Nature","",NA,NA,NA,NA,NA,NA,NA,1,1
"NASC",16,"Why Testing Improves Memory:
Mediator Effectiveness Hypothesis","","Pyc","1","Science","",NA,NA,NA,NA,NA,NA,NA,1,1
"NASC",17,"Writing About Testing Worries Boosts
Exam Performance in the Classroom","","Ramirez","1","Science","",16,15,1,NA,NA,NA,NA,1,1
"NASC",18,"Spontaneous giving and calculated greed","","Rand","1","Nature","",NA,NA,NA,NA,NA,NA,NA,1,1
"NASC",19,"Some Consequences of Having
Too Little","","Shah","1","Science","",NA,NA,NA,NA,NA,NA,NA,1,1
"NASC",20,"Google Effects on Memory: Cognitive Consequences of Having Information at Our
Fingertips","","Sparrow","1","Science","",NA,NA,NA,NA,NA,NA,NA,1,1
"NASC",21,"Just think: The challenges of the disengaged mind","","Wilson","1","Science","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,1
"PRCA",1,"Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota",""," Arthur","1","Science","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",2,"Melanoma genome sequencing reveals frequent PREX2 mutations","","Berger","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",3,"The transcriptional network for mesenchymal transformation of brain tumours","","Carro","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",4,"Fusobacterium nucleatum infection is prevalent in human colorectal carcinoma","","Castellarin","1","GR","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",5,"Normal and neoplastic nonstem Cells can spontaneously convert to a stem-like state","","Chaffer","1","PNAS","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",6,"DNA breaks and chromosome pulverization from errors in mitosis","","Crasta","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,0,NA
"PRCA",7,"inhibition of bet recruitment to chromatin as an effective treatment for mll-fusion leukaemia","","Dawson","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,0,NA
"PRCA",8,"Oncogene-induced Nrf2 transcription promotes ROS detoxification and tumorigenesis","","De Nicola","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",9,"BET Bromodomain Inhibition as a Therapeutic Strategy to Target c-Myc","","Delmore","1","Cell","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",10,"Leukemic IDH1 and IDH2 Mutations Result in a Hypermethylation Phenotype, Disrupt TET2 Function, and Impair Hematopoietic Differentiation","","Figueroa","1","Cancer Cell","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",11,"Systematic identification of genomic markers of drug sensitivity in Cancer Cells","","Garnett","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,1
"PRCA",12,"Biomechanical Remodeling of the Microenvironment by Stromal Caveolin-1 Favors Tumor Invasion and Metastasis","","Goetz","1","Cell","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",13,"Long non-coding RNA HOTAIR reprograms chromatin state to promote Cancer metastasis","","Gupta","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",14,"RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth","","Hatzivassiliou","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",15,"Kinase-Dead BRAF and Oncogenic RAS Cooperate to Drive Tumor Progression through CRAF","","Heidorn","1","Cell","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",16,"COT drives resistance to RAF inhibition through MAP kinase pathway reactivation","","Johannessen","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,0,NA
"PRCA",17,"Diverse somatic mutation patterns and pathway alterations in human Cancers","","Kan","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",18,"Senescence surveillance of pre-malignant hepatocytes limits liver Cancer development","","Kang","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",19,"A Myc Network Accounts for Similarities between Embryonic Stem and Cancer Cell Transcription Programs","","Kim","1","Cell","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",20,"Impaired hydroxylation of 5-methylcytosine in myeloid Cancers with mutant TET2","","Ko","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",21,"Sequential Application of AntiCancer Drugs Enhances Cell Death by Rewiring Apoptotic Signaling Networks","","Lee","1","Cell","pdf_search",NA,NA,NA,NA,NA,NA,NA,0,NA
"PRCA",22,"Transcriptional Amplification in Tumor Cells with Elevated c-Myc","","Lin","1","Cell","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",23,"The microRNA miR-34a inhibits prostate Cancer stem Cells and metastasis by directly repressing CD44","","Liu","1","Nature MEDICINE","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",24,"IDH mutation impairs histone demethylation and results in a block to Cell differentiation","","Lu","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",25,"Interactions between Cancer stem Cells and their niche govern metastatic colonization","","Malanchi","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,0,0
"PRCA",26,"Reductive glutamine metabolism by IDH1 mediates lipogenesis under hypoxia","","Metallo","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",27,"melanomas acquire resistance to b-raf(v600e) inhibition by rtk or n-ras upregulation","","Nazarian ","1","Nature","pdf_search",NA,NA,NA,NA,NA,NA,NA,1,0
"PRCA",28,"An endogenous tumour-promoting ligand of the human aryl hydrocarbon receptor","","Opitz","1","Nature","pdf_search",48,NA,NA,NA,0,NA,NA,1,0
"PRCA",29,"Melanoma exosomes educate bone marrow progenitor Cells toward a pro-metastatic phenotype through MET","","Peinado","1","Nature MEDICINE","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",30,"A microRNA regulon that mediates endothelial recruitment and metastasis by Cancer Cells","","Png","1","Nature","pdf_search",10,NA,NA,NA,0,NA,NA,1,0
"PRCA",31,"A coding-independent function of gene and pseudogene mRNAs regulates tumour biology","","Poliseno","1","Nature","pdf_search",5,NA,NA,NA,0,NA,NA,1,0
"PRCA",32,"Functional genomics reveal that the serine synthesis pathway is essential in breast Cancer","","Possemato","1","Nature","pdf_search",5,NA,NA,NA,0,NA,NA,1,0
"PRCA",33,"raf inhibitors transactivate raf dimers and erk signalling in Cells with wild-type braf","","Poulikakos","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",34,"Unresponsiveness of colon Cancer to BRAF(V600E) inhibition through feedback activation of EGFR","","Prahallad","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",35,"CCL2 recruits inflammatory monocytes to facilitate breast-tumour metastasis","","Qian","1","Nature","pdf_search",10,NA,NA,NA,0,NA,NA,1,0
"PRCA",36,"Selective killing of Cancer Cells by a small molecule targeting the stress response to ROS","","Raj","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",37,"Tumour vascularization via endothelial differentiation of glioblastoma stem-like Cells","","Ricci-Vitiani","1","Nature","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",38,"A Chromatin-Mediated Reversible Drug-Tolerant State in Cancer Cell Subpopulations","","Sharma","1","Cell","",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",39,"discovery and preclinical validation of drug indications using compendia of public gene expression data","","Sirota","1","Science Translational Medicine","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
"PRCA",40,"Tumour micro-environment elicits innate resistance to RAF inhibitors through HGF secretion","","Straussman","1","Nature","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
"PRCA",41,"Coadministration of a Tumor-Penetrating Peptide Enhances the Efficacy of Cancer Drugs","","Sugahara","1","Science","pdf_search",28,NA,NA,NA,0,NA,NA,1,0
"PRCA",42,"An Extensive MicroRNA-Mediated Network of RNA-RNA Interactions Regulates Established Oncogenic Pathways in Glioblastoma","","Sumazin","1","Cell","pdf_search",NA,NA,NA,NA,0,NA,NA,1,0
"PRCA",43,"Coding-Independent Regulation of the Tumor Suppressor PTEN by Competing Endogenous mRNAs","","Tay","1","Cell","pdf_search",127,NA,NA,NA,0,NA,NA,1,0
"PRCA",44,"Wnt activity defines colon Cancer stem Cells and is regulated by the microenvironment","","Vermeulen","1","Nature Cell BIOLOGY","pdf_search",1,NA,NA,NA,0,NA,NA,1,0
"PRCA",45,"The Common Feature of Leukemia-Associated IDH1 and IDH2 Mutations Is a Neomorphic Enzyme Activity Converting alpha-Ketoglutarate to 2-Hydroxyglutarate","","Ward","1","Cancer Cell","pdf_search",5,NA,NA,NA,0,NA,NA,1,0
"PRCA",47,"Widespread potential for growth-factor-driven resistance to antiCancer kinase inhibitors","","Wilson","1","Nature","pdf_search",5,NA,NA,NA,1,NA,1,1,0
"PRCA",48,"Oncometabolite 2-Hydroxyglutarate Is a Competitive Inhibitor of alpha-Ketoglutarate-Dependent Dioxygenases","","Xu","1","Cancer Cell","pdf_search",2,NA,NA,NA,0,NA,NA,1,0
"PRCA",49,"BRCA1 tumour suppression occurs via heterochromatin-mediated silencing","","Zhu","1","Nature","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
"PRCA",50,"RNAi screen identifies Brd4 as a therapeutic target in acute myeloid leukaemia","","Zuber","1","Nature","pdf_search",3,NA,NA,NA,0,NA,NA,1,0
